corruption,severity,accuracy,f1
Impulse Noise,0,0.955,0.9326117300653802
Impulse Noise,1,0.927,0.8888476842228173
Impulse Noise,2,0.912,0.8646070771459728
Impulse Noise,3,0.908,0.8593422974040639
Impulse Noise,4,0.899,0.8485088424232965
Impulse Noise,5,0.903,0.8556387519852482
Gaussian Blur,0,0.955,0.9326117300653802
Gaussian Blur,1,0.955,0.9333230643239163
Gaussian Blur,2,0.952,0.9279459604198664
Gaussian Blur,3,0.947,0.9216187726805922
Gaussian Blur,4,0.95,0.9254542810533957
Gaussian Blur,5,0.928,0.9039449423399498
Brightness/Contrast,0,0.955,0.9326117300653802
Brightness/Contrast,1,0.904,0.8670126771397018
Brightness/Contrast,2,0.888,0.8522258113220968
Brightness/Contrast,3,0.898,0.8612652839953794
Brightness/Contrast,4,0.867,0.8258828130751741
Brightness/Contrast,5,0.878,0.8403583887094301
Elastic Deformation,0,0.955,0.9326117300653802
Elastic Deformation,1,0.929,0.9033575576674016
Elastic Deformation,2,0.909,0.8833828037623074
Elastic Deformation,3,0.908,0.8824122265344817
Elastic Deformation,4,0.899,0.8707764343026257
Elastic Deformation,5,0.914,0.8845773842646775
JPEG Compression,0,0.955,0.9326117300653802
JPEG Compression,1,0.953,0.9285394323347705
JPEG Compression,2,0.953,0.9282369981880029
JPEG Compression,3,0.949,0.9212854359422278
JPEG Compression,4,0.953,0.9258939032054562
JPEG Compression,5,0.952,0.9296020612457259
